,id,questionID,respondent,section,question,answer,value,explanation,variant,type,form
33,629,11023,34,questionnaire,"Is persistent, works until the task is finished.",Agree a little,,,bfi2s_avatar,avatar,bfi
34,630,11024,34,questionnaire,"Feels secure, comfortable with self.",Agree a little,,,bfi2s_avatar,avatar,bfi
35,631,11025,34,questionnaire,"Is complex, a deep thinker.",Agree a little,,,bfi2s_avatar,avatar,bfi
36,632,11026,34,questionnaire,Is less active than other people.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
37,634,11027,34,questionnaire,Tends to find fault with others.,Disagree a little,,,bfi2s_avatar,avatar,bfi
38,635,11028,34,questionnaire,Can be somewhat careless.,"Neutral, no opinion",,,bfi2s_avatar,avatar,bfi
39,636,11029,34,questionnaire,"Is temperamental, gets emotional easily.",Agree a little,,,bfi2s_avatar,avatar,bfi
40,637,11030,34,questionnaire,Has little creativity.,Agree a little,,,bfi2s_avatar,avatar,bfi
41,640,11201,34,feedback,How much do you agree with this statement: The conversation with the AI assistant felt natural.,Agree,4.0,he asked good follow up questions,bfi2s_avatar,avatar,bfi
42,642,11202,34,feedback,How would you rate the overall experience of interacting with the AI assistant?,Neutral,3.0,sometimes he was a bit slow to ask other questions so sometimes the conversation felt unnatural,bfi2s_avatar,avatar,bfi
43,646,11203,34,feedback,How would you rate your overall experience with this survey?,Good,4.0,it was an interesting survey finding out about my personality,bfi2s_avatar,avatar,bfi
44,647,11200,34,feedback,"During this survey, you interacted with a voice-based AI assistant. If you had to choose, would you prefer this format or a text-based assistant (where you communicate by typing) for a similar survey in the future?",I have no preference,1.0,"i think either options are good, personally i dont have a preference",bfi2s_avatar,avatar,bfi
45,648,11206,34,feedback,"How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.",30,,,bfi2s_avatar,avatar,bfi
46,649,11205,34,feedback,Is there anything else you'd like to tell us regarding this study?,no,,,bfi2s_avatar,avatar,bfi
47,70,10101,8,demographics,What is your age?,18-24,,,bfi2s_classic,classic,bfi
48,71,10102,8,demographics,Which gender do you identify as?,Male,,,bfi2s_classic,classic,bfi
49,72,10103,8,demographics,How do you identify yourself in terms of race?,Other,,,bfi2s_classic,classic,bfi
50,73,10104,8,demographics,What is the highest education level you have completed?,High school diploma,,,bfi2s_classic,classic,bfi
51,74,10109,8,demographics,"What is your personal income per year, after tax?","£0 - £9,999",,,bfi2s_classic,classic,bfi
52,75,10105,8,demographics,How often do you use a computer?,At least once a day,,,bfi2s_classic,classic,bfi
53,76,10106,8,demographics,What is your general attitude towards artificial intelligence?,Very positive,,,bfi2s_classic,classic,bfi
54,77,10107,8,demographics,"Have you previously interacted with AI-based conversational agents (e.g., chatbots, virtual assistants, avatars) in online surveys or other platforms?",Yes,,,bfi2s_classic,classic,bfi
55,78,10108,8,demographics,How would you rate your overall proficiency in English?,Native or bilingual speaker,,,bfi2s_classic,classic,bfi
56,79,10110,8,demographics,"You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad.",Salad,,,bfi2s_classic,classic,bfi
57,80,10000,8,questionnaire,Tends to be quiet.,Agree a little,,,bfi2s_classic,classic,bfi
58,81,10001,8,questionnaire,"Is compassionate, has a soft heart.",Agree strongly,,,bfi2s_classic,classic,bfi
59,82,10002,8,questionnaire,Tends to be disorganized.,Disagree strongly,,,bfi2s_classic,classic,bfi
60,83,10003,8,questionnaire,Worries a lot.,Disagree a little,,,bfi2s_classic,classic,bfi
61,84,10004,8,questionnaire,"Is fascinated by art, music, or literature.",Agree strongly,,,bfi2s_classic,classic,bfi
62,85,10005,8,questionnaire,"Is dominant, acts as a leader.",Agree a little,,,bfi2s_classic,classic,bfi
63,86,10006,8,questionnaire,Is sometimes rude to others.,Disagree strongly,,,bfi2s_classic,classic,bfi
64,87,10007,8,questionnaire,Has difficulty getting started on tasks.,Agree a little,,,bfi2s_classic,classic,bfi
65,99,10008,8,questionnaire,"Tends to feel depressed, blue.",Agree strongly,,,bfi2s_classic,classic,bfi
66,100,10009,8,questionnaire,I prefer summer over winter.,"Agree strongly, Disagree strongly",,,bfi2s_classic,classic,bfi
67,101,10010,8,questionnaire,Has little interest in abstract ideas.,Disagree strongly,,,bfi2s_classic,classic,bfi
68,103,10011,8,questionnaire,Is full of energy.,Disagree a little,,,bfi2s_classic,classic,bfi
69,110,10012,8,questionnaire,Assumes the best about people.,Disagree strongly,,,bfi2s_classic,classic,bfi
70,111,10013,8,questionnaire,"Is reliable, can always be counted on.",Agree a little,,,bfi2s_classic,classic,bfi
71,112,10014,8,questionnaire,"Is emotionally stable, not easily upset.",Agree a little,,,bfi2s_classic,classic,bfi
72,113,10015,8,questionnaire,"Is original, comes up with new ideas.",Agree strongly,,,bfi2s_classic,classic,bfi
73,114,10016,8,questionnaire,"Is outgoing, sociable.",Disagree a little,,,bfi2s_classic,classic,bfi
74,115,10017,8,questionnaire,Can be cold and uncaring.,Disagree a little,,,bfi2s_classic,classic,bfi
75,127,10018,8,questionnaire,Keeps things neat and tidy.,Agree strongly,,,bfi2s_classic,classic,bfi
76,132,10019,8,questionnaire,"Is relaxed, handles stress well.",Agree strongly,,,bfi2s_classic,classic,bfi
77,133,10020,8,questionnaire,Has few artistic interests.,Disagree strongly,,,bfi2s_classic,classic,bfi
78,134,10021,8,questionnaire,Prefers to have others take charge.,Disagree strongly,,,bfi2s_classic,classic,bfi
79,135,10022,8,questionnaire,"Is respectful, treats others with respect.",Agree a little,,,bfi2s_classic,classic,bfi
80,143,10023,8,questionnaire,"Is persistent, works until the task is finished.",Agree strongly,,,bfi2s_classic,classic,bfi
81,144,10024,8,questionnaire,"Feels secure, comfortable with self.",Disagree strongly,,,bfi2s_classic,classic,bfi
82,145,10025,8,questionnaire,"Is complex, a deep thinker.",Agree strongly,,,bfi2s_classic,classic,bfi
83,146,10026,8,questionnaire,Is less active than other people.,Agree a little,,,bfi2s_classic,classic,bfi
84,147,10027,8,questionnaire,Tends to find fault with others.,Disagree a little,,,bfi2s_classic,classic,bfi
85,148,10028,8,questionnaire,Can be somewhat careless.,Disagree strongly,,,bfi2s_classic,classic,bfi
86,149,10029,8,questionnaire,"Is temperamental, gets emotional easily.",Disagree strongly,,,bfi2s_classic,classic,bfi
87,151,10030,8,questionnaire,Has little creativity.,Disagree strongly,,,bfi2s_classic,classic,bfi
88,158,10201,8,feedback,How much do you agree with this statement: The conversation with the AI assistant felt natural.,Agree,4.0,,bfi2s_classic,classic,bfi
89,159,10202,8,feedback,How would you rate the overall experience of interacting with the AI assistant?,Good,4.0,,bfi2s_classic,classic,bfi
90,161,10203,8,feedback,How would you rate your overall experience with this survey?,Very good,5.0,,bfi2s_classic,classic,bfi
91,163,10200,8,feedback,"During this survey, you interacted with a text-based AI assistant. If you had to choose, would you prefer this format or a voice-based assistant (where the AI speaks to you, and you also respond by speaking) for a similar survey in the future?",I prefer the text-based AI assistant (current version),3.0,,bfi2s_classic,classic,bfi
92,165,10206,8,feedback,"How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.",30,,,bfi2s_classic,classic,bfi
93,166,10205,8,feedback,Is there anything else you'd like to tell us regarding this study?,,,,bfi2s_classic,classic,bfi
94,538,10101,33,demographics,What is your age?,18-24,,,bfi2s_classic,classic,bfi
95,539,10102,33,demographics,Which gender do you identify as?,Female,,,bfi2s_classic,classic,bfi
96,540,10103,33,demographics,How do you identify yourself in terms of race?,White,,,bfi2s_classic,classic,bfi
97,541,10104,33,demographics,What is the highest education level you have completed?,Undergraduate degree,,,bfi2s_classic,classic,bfi
98,542,10109,33,demographics,"What is your personal income per year, after tax?","£20,000 - £29,999",,,bfi2s_classic,classic,bfi
99,543,10105,33,demographics,How often do you use a computer?,Multiple times a day,,,bfi2s_classic,classic,bfi
100,544,10106,33,demographics,What is your general attitude towards artificial intelligence?,Somewhat positive,,,bfi2s_classic,classic,bfi
101,545,10107,33,demographics,"Have you previously interacted with AI-based conversational agents (e.g., chatbots, virtual assistants, avatars) in online surveys or other platforms?",Yes,,,bfi2s_classic,classic,bfi
102,546,10108,33,demographics,How would you rate your overall proficiency in English?,Native or bilingual speaker,,,bfi2s_classic,classic,bfi
103,547,10110,33,demographics,"You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad.",Salad,,,bfi2s_classic,classic,bfi
104,552,10000,33,questionnaire,Tends to be quiet.,Agree a little,,,bfi2s_classic,classic,bfi
105,567,10001,33,questionnaire,"Is compassionate, has a soft heart.",Agree strongly,,,bfi2s_classic,classic,bfi
106,568,10002,33,questionnaire,Tends to be disorganized.,Disagree a little,,,bfi2s_classic,classic,bfi
107,570,10003,33,questionnaire,Worries a lot.,Agree a little,,,bfi2s_classic,classic,bfi
108,573,10004,33,questionnaire,"Is fascinated by art, music, or literature.",Agree strongly,,,bfi2s_classic,classic,bfi
109,575,10005,33,questionnaire,"Is dominant, acts as a leader.",Agree a little,,,bfi2s_classic,classic,bfi
110,576,10006,33,questionnaire,Is sometimes rude to others.,Disagree strongly,,,bfi2s_classic,classic,bfi
111,577,10007,33,questionnaire,Has difficulty getting started on tasks.,Disagree strongly,,,bfi2s_classic,classic,bfi
112,582,10008,33,questionnaire,"Tends to feel depressed, blue.",Disagree strongly,,,bfi2s_classic,classic,bfi
113,590,10009,33,questionnaire,I prefer summer over winter.,"Agree strongly, Disagree strongly",,,bfi2s_classic,classic,bfi
114,591,10010,33,questionnaire,Has little interest in abstract ideas.,Disagree a little,,,bfi2s_classic,classic,bfi
115,592,10011,33,questionnaire,Is full of energy.,Agree strongly,,,bfi2s_classic,classic,bfi
116,600,10012,33,questionnaire,Assumes the best about people.,Agree strongly,,,bfi2s_classic,classic,bfi
117,601,10013,33,questionnaire,"Is reliable, can always be counted on.",Agree strongly,,,bfi2s_classic,classic,bfi
118,602,10014,33,questionnaire,"Is emotionally stable, not easily upset.",Agree strongly,,,bfi2s_classic,classic,bfi
119,603,10015,33,questionnaire,"Is original, comes up with new ideas.",Agree strongly,,,bfi2s_classic,classic,bfi
120,604,10016,33,questionnaire,"Is outgoing, sociable.",Agree strongly,,,bfi2s_classic,classic,bfi
121,605,10017,33,questionnaire,Can be cold and uncaring.,Disagree strongly,,,bfi2s_classic,classic,bfi
122,609,10018,33,questionnaire,Keeps things neat and tidy.,Agree strongly,,,bfi2s_classic,classic,bfi
123,613,10019,33,questionnaire,"Is relaxed, handles stress well.",Agree a little,,,bfi2s_classic,classic,bfi
124,614,10020,33,questionnaire,Has few artistic interests.,Disagree a little,,,bfi2s_classic,classic,bfi
125,615,10021,33,questionnaire,Prefers to have others take charge.,"Neutral, no opinion",,,bfi2s_classic,classic,bfi
126,616,10022,33,questionnaire,"Is respectful, treats others with respect.",Agree strongly,,,bfi2s_classic,classic,bfi
127,620,10023,33,questionnaire,"Is persistent, works until the task is finished.",Agree strongly,,,bfi2s_classic,classic,bfi
128,621,10024,33,questionnaire,"Feels secure, comfortable with self.",Agree strongly,,,bfi2s_classic,classic,bfi
129,623,10025,33,questionnaire,"Is complex, a deep thinker.",Agree a little,,,bfi2s_classic,classic,bfi
130,624,10026,33,questionnaire,Is less active than other people.,Disagree a little,,,bfi2s_classic,classic,bfi
131,626,10027,33,questionnaire,Tends to find fault with others.,Disagree strongly,,,bfi2s_classic,classic,bfi
132,627,10028,33,questionnaire,Can be somewhat careless.,Disagree a little,,,bfi2s_classic,classic,bfi
133,628,10029,33,questionnaire,"Is temperamental, gets emotional easily.",Disagree a little,,,bfi2s_classic,classic,bfi
134,633,10030,33,questionnaire,Has little creativity.,Disagree a little,,,bfi2s_classic,classic,bfi
135,638,10201,33,feedback,How much do you agree with this statement: The conversation with the AI assistant felt natural.,Agree,4.0,They responded to specific details i said and the tone was casual and conversational,bfi2s_classic,classic,bfi
136,639,10202,33,feedback,How would you rate the overall experience of interacting with the AI assistant?,Very good,5.0,They replied quickly and showed intrest,bfi2s_classic,classic,bfi
137,641,10203,33,feedback,How would you rate your overall experience with this survey?,Good,4.0,It helped me reflect on myself and i enjoyed seeing my personality profile,bfi2s_classic,classic,bfi
138,643,10200,33,feedback,"During this survey, you interacted with a text-based AI assistant. If you had to choose, would you prefer this format or a voice-based assistant (where the AI speaks to you, and you also respond by speaking) for a similar survey in the future?",I prefer the text-based AI assistant (current version),3.0,I prefer this as i can refleect on what theyve said easier,bfi2s_classic,classic,bfi
139,644,10206,33,feedback,"How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.",30,,,bfi2s_classic,classic,bfi
140,645,10205,33,feedback,Is there anything else you'd like to tell us regarding this study?,,,,bfi2s_classic,classic,bfi
141,210,11101,11,demographics,What is your age?,18-24,,,bfi2s_avatar,avatar,bfi
142,211,11102,11,demographics,Which gender do you identify as?,Male,,,bfi2s_avatar,avatar,bfi
143,212,11103,11,demographics,How do you identify yourself in terms of race?,White,,,bfi2s_avatar,avatar,bfi
144,213,11104,11,demographics,What is the highest education level you have completed?,Graduate degree,,,bfi2s_avatar,avatar,bfi
145,214,11109,11,demographics,"What is your personal income per year, after tax?","£40,000 - £49,999",,,bfi2s_avatar,avatar,bfi
146,215,11105,11,demographics,How often do you use a computer?,Multiple times a day,,,bfi2s_avatar,avatar,bfi
147,216,11106,11,demographics,What is your general attitude towards artificial intelligence?,Somewhat positive,,,bfi2s_avatar,avatar,bfi
148,217,11107,11,demographics,"Have you previously interacted with AI-based conversational agents (e.g., chatbots, virtual assistants, avatars) in online surveys or other platforms?",Yes,,,bfi2s_avatar,avatar,bfi
149,218,11108,11,demographics,How would you rate your overall proficiency in English?,Native or bilingual speaker,,,bfi2s_avatar,avatar,bfi
150,219,11110,11,demographics,"You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad.",Salad,,,bfi2s_avatar,avatar,bfi
151,220,11000,11,questionnaire,Tends to be quiet.,Agree a little,,,bfi2s_avatar,avatar,bfi
152,221,11001,11,questionnaire,"Is compassionate, has a soft heart.",Agree strongly,,,bfi2s_avatar,avatar,bfi
153,222,11002,11,questionnaire,Tends to be disorganized.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
154,223,11003,11,questionnaire,Worries a lot.,Agree a little,,,bfi2s_avatar,avatar,bfi
155,224,11004,11,questionnaire,"Is fascinated by art, music, or literature.",Disagree a little,,,bfi2s_avatar,avatar,bfi
156,225,11005,11,questionnaire,"Is dominant, acts as a leader.",Disagree strongly,,,bfi2s_avatar,avatar,bfi
157,226,11006,11,questionnaire,Is sometimes rude to others.,Disagree a little,,,bfi2s_avatar,avatar,bfi
158,227,11007,11,questionnaire,Has difficulty getting started on tasks.,Disagree a little,,,bfi2s_avatar,avatar,bfi
159,228,11008,11,questionnaire,"Tends to feel depressed, blue.",Disagree a little,,,bfi2s_avatar,avatar,bfi
160,229,11009,11,questionnaire,I prefer summer over winter.,Agree strongly,,,bfi2s_avatar,avatar,bfi
161,230,11010,11,questionnaire,Has little interest in abstract ideas.,"Neutral, no opinion",,,bfi2s_avatar,avatar,bfi
162,231,11011,11,questionnaire,Is full of energy.,Agree a little,,,bfi2s_avatar,avatar,bfi
163,232,11012,11,questionnaire,Assumes the best about people.,Agree strongly,,,bfi2s_avatar,avatar,bfi
164,233,11013,11,questionnaire,"Is reliable, can always be counted on.",Agree strongly,,,bfi2s_avatar,avatar,bfi
165,234,11014,11,questionnaire,"Is emotionally stable, not easily upset.",Agree strongly,,,bfi2s_avatar,avatar,bfi
166,235,11015,11,questionnaire,"Is original, comes up with new ideas.",Agree strongly,,,bfi2s_avatar,avatar,bfi
167,236,11016,11,questionnaire,"Is outgoing, sociable.",Agree strongly,,,bfi2s_avatar,avatar,bfi
168,237,11017,11,questionnaire,Can be cold and uncaring.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
169,238,11018,11,questionnaire,Keeps things neat and tidy.,Agree strongly,,,bfi2s_avatar,avatar,bfi
170,239,11019,11,questionnaire,"Is relaxed, handles stress well.",Agree strongly,,,bfi2s_avatar,avatar,bfi
171,240,11020,11,questionnaire,Has few artistic interests.,Agree strongly,,,bfi2s_avatar,avatar,bfi
172,241,11021,11,questionnaire,Prefers to have others take charge.,Agree strongly,,,bfi2s_avatar,avatar,bfi
173,242,11022,11,questionnaire,"Is respectful, treats others with respect.",Agree strongly,,,bfi2s_avatar,avatar,bfi
174,243,11023,11,questionnaire,"Is persistent, works until the task is finished.",Agree strongly,,,bfi2s_avatar,avatar,bfi
175,244,11024,11,questionnaire,"Feels secure, comfortable with self.",Agree strongly,,,bfi2s_avatar,avatar,bfi
176,245,11025,11,questionnaire,"Is complex, a deep thinker.",Agree strongly,,,bfi2s_avatar,avatar,bfi
177,246,11026,11,questionnaire,Is less active than other people.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
178,247,11027,11,questionnaire,Tends to find fault with others.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
179,248,11028,11,questionnaire,Can be somewhat careless.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
180,249,11029,11,questionnaire,"Is temperamental, gets emotional easily.",Disagree strongly,,,bfi2s_avatar,avatar,bfi
181,250,11030,11,questionnaire,Has little creativity.,Disagree strongly,,,bfi2s_avatar,avatar,bfi
182,251,11202,11,feedback,How would you rate the overall experience of interacting with the AI assistant?,Very good,5.0,,bfi2s_avatar,avatar,bfi
183,252,11203,11,feedback,How would you rate your overall experience with this survey?,Very good,5.0,,bfi2s_avatar,avatar,bfi
184,253,11200,11,feedback,"During this survey, you interacted with a voice-based AI assistant. If you had to choose, would you prefer this format or a text-based assistant (where you communicate by typing) for a similar survey in the future?",I prefer the voice-based AI assistant (current version),3.0,,bfi2s_avatar,avatar,bfi
185,254,11206,11,feedback,"How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.",30,,,bfi2s_avatar,avatar,bfi
186,255,11205,11,feedback,Is there anything else you'd like to tell us regarding this study?,,,,bfi2s_avatar,avatar,bfi
187,88,10101,9,demographics,What is your age?,18-24,,,bfi2s_classic,classic,bfi
188,89,10102,9,demographics,Which gender do you identify as?,Male,,,bfi2s_classic,classic,bfi
189,90,10103,9,demographics,How do you identify yourself in terms of race?,Black,,,bfi2s_classic,classic,bfi
190,91,10104,9,demographics,What is the highest education level you have completed?,High school diploma,,,bfi2s_classic,classic,bfi
191,92,10109,9,demographics,"What is your personal income per year, after tax?",No income,,,bfi2s_classic,classic,bfi
192,93,10105,9,demographics,How often do you use a computer?,At least once a day,,,bfi2s_classic,classic,bfi
193,94,10106,9,demographics,What is your general attitude towards artificial intelligence?,Somewhat negative,,,bfi2s_classic,classic,bfi
194,95,10107,9,demographics,"Have you previously interacted with AI-based conversational agents (e.g., chatbots, virtual assistants, avatars) in online surveys or other platforms?",Yes,,,bfi2s_classic,classic,bfi
195,96,10108,9,demographics,How would you rate your overall proficiency in English?,Native or bilingual speaker,,,bfi2s_classic,classic,bfi
196,97,10110,9,demographics,"You may love pizza or ice cream. But when we ask you what you would order in the restaurant, you need to choose a salad.",Salad,,,bfi2s_classic,classic,bfi
197,98,10000,9,questionnaire,Tends to be quiet.,Agree a little,,,bfi2s_classic,classic,bfi
198,102,10001,9,questionnaire,"Is compassionate, has a soft heart.","Neutral, no opinion",,,bfi2s_classic,classic,bfi
199,104,10002,9,questionnaire,Tends to be disorganized.,"Neutral, no opinion",,,bfi2s_classic,classic,bfi
200,105,10003,9,questionnaire,Worries a lot.,"Neutral, no opinion",,,bfi2s_classic,classic,bfi
201,106,10004,9,questionnaire,"Is fascinated by art, music, or literature.","Neutral, no opinion",,,bfi2s_classic,classic,bfi
202,107,10005,9,questionnaire,"Is dominant, acts as a leader.",Agree a little,,,bfi2s_classic,classic,bfi
203,108,10006,9,questionnaire,Is sometimes rude to others.,Disagree strongly,,,bfi2s_classic,classic,bfi
204,109,10007,9,questionnaire,Has difficulty getting started on tasks.,Agree a little,,,bfi2s_classic,classic,bfi
205,116,10008,9,questionnaire,"Tends to feel depressed, blue.",Agree a little,,,bfi2s_classic,classic,bfi
206,128,10009,9,questionnaire,I prefer summer over winter.,"Agree strongly, Disagree strongly",,,bfi2s_classic,classic,bfi
207,129,10010,9,questionnaire,Has little interest in abstract ideas.,Disagree strongly,,,bfi2s_classic,classic,bfi
208,130,10011,9,questionnaire,Is full of energy.,"Neutral, no opinion",,,bfi2s_classic,classic,bfi
209,140,10012,9,questionnaire,Assumes the best about people.,Agree a little,,,bfi2s_classic,classic,bfi
210,141,10013,9,questionnaire,"Is reliable, can always be counted on.",Agree strongly,,,bfi2s_classic,classic,bfi
211,142,10014,9,questionnaire,"Is emotionally stable, not easily upset.",Agree a little,,,bfi2s_classic,classic,bfi
212,155,10015,9,questionnaire,"Is original, comes up with new ideas.",Agree a little,,,bfi2s_classic,classic,bfi
213,156,10016,9,questionnaire,"Is outgoing, sociable.","Neutral, no opinion",,,bfi2s_classic,classic,bfi
214,157,10017,9,questionnaire,Can be cold and uncaring.,Agree a little,,,bfi2s_classic,classic,bfi
215,169,10018,9,questionnaire,Keeps things neat and tidy.,"Neutral, no opinion",,,bfi2s_classic,classic,bfi
216,171,10019,9,questionnaire,"Is relaxed, handles stress well.",Agree strongly,,,bfi2s_classic,classic,bfi
217,172,10020,9,questionnaire,Has few artistic interests.,Disagree a little,,,bfi2s_classic,classic,bfi
218,173,10021,9,questionnaire,Prefers to have others take charge.,Disagree strongly,,,bfi2s_classic,classic,bfi
219,174,10022,9,questionnaire,"Is respectful, treats others with respect.",Agree strongly,,,bfi2s_classic,classic,bfi
220,178,10023,9,questionnaire,"Is persistent, works until the task is finished.","Neutral, no opinion",,,bfi2s_classic,classic,bfi
221,179,10024,9,questionnaire,"Feels secure, comfortable with self.",Agree strongly,,,bfi2s_classic,classic,bfi
222,180,10025,9,questionnaire,"Is complex, a deep thinker.",Agree strongly,,,bfi2s_classic,classic,bfi
223,181,10026,9,questionnaire,Is less active than other people.,Disagree strongly,,,bfi2s_classic,classic,bfi
224,182,10027,9,questionnaire,Tends to find fault with others.,Disagree strongly,,,bfi2s_classic,classic,bfi
225,183,10028,9,questionnaire,Can be somewhat careless.,"Neutral, no opinion",,,bfi2s_classic,classic,bfi
226,184,10029,9,questionnaire,"Is temperamental, gets emotional easily.",Agree a little,,,bfi2s_classic,classic,bfi
227,185,10030,9,questionnaire,Has little creativity.,Disagree strongly,,,bfi2s_classic,classic,bfi
228,187,10201,9,feedback,How much do you agree with this statement: The conversation with the AI assistant felt natural.,Disagree,2.0,,bfi2s_classic,classic,bfi
229,188,10202,9,feedback,How would you rate the overall experience of interacting with the AI assistant?,Neutral,3.0,,bfi2s_classic,classic,bfi
230,189,10203,9,feedback,How would you rate your overall experience with this survey?,Good,4.0,,bfi2s_classic,classic,bfi
231,190,10200,9,feedback,"During this survey, you interacted with a text-based AI assistant. If you had to choose, would you prefer this format or a voice-based assistant (where the AI speaks to you, and you also respond by speaking) for a similar survey in the future?",I prefer the text-based AI assistant (current version),3.0,,bfi2s_classic,classic,bfi
232,191,10206,9,feedback,"How many months are there in a year? Even though the correct answer is twelve, make sure to choose the option thirty.",30,,,bfi2s_classic,classic,bfi
233,192,10205,9,feedback,Is there anything else you'd like to tell us regarding this study?,too many pauses,,,bfi2s_classic,classic,bfi
234,1344,10101,65,demographics,What is your age?,25-34,,,bfi2s_classic,classic,bfi
235,1345,10102,65,demographics,Which gender do you identify as?,Female,,,bfi2s_classic,classic,bfi
236,1346,10103,65,demographics,How do you identify yourself in terms of race?,White,,,bfi2s_classic,classic,bfi
237,1347,10104,65,demographics,What is the highest education level you have completed?,Graduate degree,,,bfi2s_classic,classic,bfi
238,1348,10109,65,demographics,"What is your personal income per year, after tax?","£20,000 - £29,999",,,bfi2s_classic,classic,bfi
239,1349,10105,65,demographics,How often do you use a computer?,At least once a day,,,bfi2s_classic,classic,bfi
240,1350,10106,65,demographics,What is your general attitude towards artificial intelligence?,Neutral,,,bfi2s_classic,classic,bfi
241,1351,10107,65,demographics,"Have you previously interacted with AI-based conversational agents (e.g., chatbots, virtual assistants, avatars) in online surveys or other platforms?",Yes,,,bfi2s_classic,classic,bfi
